"측정일시","측정소명","이산화질소농도(ppm)","오존농도(ppm)","일산화탄소농도(ppm)","아황산가스(ppm)","미세먼지(㎍/㎥)","초미세먼지(㎍/㎥)"
"201906081700","강남구","0.025","0.057","0.4","0.006","45","24"
"201906081800","강남구","0.022","0.058","0.4","0.006","34","23"
"201906081900","강남구","0.021","0.054","0.5","0.006","","19"
"201906082000","강남구","0.02","0.052","0.4","0.006","25","19"
"201906082100","강남구","0.017","0.051","0.4","0.006","18","15"
"201906082200","강남구","0.018","0.045","0.4","0.006","18","13"
"201906082300","강남구","0.022","0.039","0.4","0.005","18","15"
"201906090000","강남구","0.035","0.021","0.6","0.005","24","18"
"201906090100","강남구","0.039","0.016","0.6","0.005","27","20"
"201906090200","강남구","0.03","0.022","0.5","0.005","31","23"
"201906090300","강남구","0.014","0.039","0.4","0.006","43","30"
"201906090400","강남구","0.009","0.042","0.4","0.006","32","24"
"201906090500","강남구","0.01","0.044","0.4","0.006","33","26"
"201906090600","강남구","0.013","0.03","0.4","0.005","38","30"
"201906090700","강남구","0.016","0.024","0.5","0.006","43","32"
"201906090800","강남구","0.018","0.024","0.5","0.006","41","30"
"201906090900","강남구","0.017","0.027","0.5","0.006","40","28"
"201906091000","강남구","0.015","0.039","0.4","0.006","29","21"
"201906091100","강남구","0.015","0.052","0.4","0.006","31","22"
"201906091200","강남구","0.011","0.06","0.4","0.007","28","21"
"201906091300","강남구","0.011","0.074","0.4","0.006","","23"
"201906091400","강남구","0.012","0.083","0.4","0.006","31","25"
"201906091500","강남구","0.013","0.084","0.5","0.006","42","32"
"201906091600","강남구","0.014","0.076","0.4","0.005","40","31"
"201906091700","강남구","0.014","0.062","0.4","0.005","33","24"
"201906091800","강남구","0.014","0.066","0.3","0.006","28","22"
"201906091900","강남구","0.012","0.043","0.3","0.005","26","21"
"201906022000","강동구","0.018","0.05","0.4","0.004","33","18"
"201906022100","강동구","0.018","0.048","0.4","0.004","31","19"
"201906022200","강동구","0.025","0.043","0.5","0.005","33","20"
"201906022300","강동구","0.027","0.038","0.4","0.004","30","19"
"201906030000","강동구","0.04","0.025","0.5","0.003","33","21"
"201906030100","강동구","0.037","0.025","0.4","0.004","35","23"
"201906030200","강동구","0.041","0.019","0.5","0.004","35","22"
"201906030300","강동구","0.023","0.029","0.4","0.003","34","20"
"201906030400","강동구","0.029","0.021","0.4","0.003","32","23"
"201906030500","강동구","0.026","0.021","0.4","0.004","32","21"
"201906030600","강동구","0.029","0.017","0.4","0.004","31","22"
"201906030700","강동구","0.039","0.013","0.4","0.003","30","20"
"201906030800","강동구","0.041","0.015","0.4","0.004","29","19"
"201906030900","강동구","0.046","0.016","0.5","0.004","32","17"
"201906031000","강동구","0.053","0.019","0.5","0.004","41","20"
"201906031100","강동구","0.046","0.03","0.6","0.005","45","21"
"201906031200","강동구","0.032","0.045","0.5","0.004","41","21"
"201906031300","강동구","0.028","0.049","0.5","0.004","42","22"
"201906031400","강동구","0.012","0.059","0.3","0.005","41","21"
"201906031500","강동구","0.01","0.057","0.3","0.004","30","18"
"201906031600","강동구","0.014","0.064","0.4","0.004","35","22"
"201906031700","강동구","0.018","0.069","0.4","0.004","48","33"
"201906031800","강동구","0.018","0.075","0.4","0.005","49","33"
"201906031900","강동구","0.022","0.077","0.5","0.005","52","31"
"201906032000","강동구","0.029","0.069","0.5","0.005","53","38"
"201906032100","강동구","0.031","0.059","0.5","0.004","52","34"
"201906032200","강동구","0.037","0.046","0.5","0.004","52","34"
"201906032300","강동구","0.04","0.028","0.6","0.006","45","29"
"201906040000","강동구","0.029","0.03","0.5","0.005","35","21"
"201906040100","강동구","0.029","0.026","0.5","0.004","27","18"
"201906040200","강동구","0.029","0.024","0.6","0.004","27","19"
"201906040300","강동구","0.031","0.022","0.6","0.004","26","19"
"201906040400","강동구","0.035","0.017","0.6","0.005","27","19"
"201906040500","강동구","0.045","0.009","0.5","0.004","34","21"
"201906040600","강동구","0.046","0.005","0.5","0.004","38","26"
"201906040700","강동구","0.046","0.006","0.6","0.004","45","28"
"201906040800","강동구","0.051","0.009","0.6","0.005","38","27"
"201906040900","강동구","0.047","0.015","0.5","0.005","33","17"
